Dish Name,Country,Type,Meal,Priority,Cook Status,Availability,Cooking Time,Difficulty,URL,Ingredient Name,Ingredient Category,Ingredient In Stock
Chicken curry,Indian,Lunch,Curry,Medium,Planned,❌ Unavailable,,,,Tomato (Gaba),Vegetables,Yes
Chicken curry,Indian,Lunch,Curry,Medium,Planned,❌ Unavailable,,,,Garam Masala,Spices,Yes
Chicken curry,Indian,Lunch,Curry,Medium,Planned,❌ Unavailable,,,,Turmeric Powder,Spices,Yes
Chicken curry,Indian,Lunch,Curry,Medium,Planned,❌ Unavailable,,,,Chicken (もも肉),Meat,No
Chicken curry,Indian,Lunch,Curry,Medium,Planned,❌ Unavailable,,,,Tomato (Kagome),Vegetables,Yes
Chicken curry,Indian,Lunch,Curry,Medium,Planned,❌ Unavailable,,,,Chilli Powder,Spices,Yes
Mapo Tofu (Veg),Chinese,Lunch,Cooked Food,Low,Not planned,❌ Unavailable,,,,Tofu,Others,Yes
🌭🍗 Fried Rice,Chinese,Lunch,Rice based,Medium,In Progress,❌ Unavailable,,,,(no ingredients linked),,
Shabu shabu spinach,Japanese,Dinner,Soup,High,In Progress,❌ Unavailable,,,,Chinese black vinegar,Oils and sauces,Yes
Shabu shabu spinach,Japanese,Dinner,Soup,High,In Progress,❌ Unavailable,,,,Chinese seafood soya sauce,Oils and sauces,Yes
Shabu shabu spinach,Japanese,Dinner,Soup,High,In Progress,❌ Unavailable,,,,ポン酢,Oils and sauces,Yes
Shabu shabu spinach,Japanese,Dinner,Soup,High,In Progress,❌ Unavailable,,,,ごましゃぶ,Oils and sauces,Yes
Shabu shabu spinach,Japanese,Dinner,Soup,High,In Progress,❌ Unavailable,,,,Pork shabu shabu,Meat,No
茸ご飯🍄‍🟫🍚,Japanese,Lunch,Rice based,Medium,Planned,❌ Unavailable,,,,えのき茸,Vegetables,Yes
茸ご飯🍄‍🟫🍚,Japanese,Lunch,Rice based,Medium,Planned,❌ Unavailable,,,,舞茸,Vegetables,Yes
茸ご飯🍄‍🟫🍚,Japanese,Lunch,Rice based,Medium,Planned,❌ Unavailable,,,,生椎茸,Vegetables,Yes
茸ご飯🍄‍🟫🍚,Japanese,Lunch,Rice based,Medium,Planned,❌ Unavailable,,,,Rice,Carbs,Yes
茸ご飯🍄‍🟫🍚,Japanese,Lunch,Rice based,Medium,Planned,❌ Unavailable,,,,Soy Sauce,Oils and sauces,Yes
茸ご飯🍄‍🟫🍚,Japanese,Lunch,Rice based,Medium,Planned,❌ Unavailable,,,,Mirin,Oils and sauces,Yes
茸ご飯🍄‍🟫🍚,Japanese,Lunch,Rice based,Medium,Planned,❌ Unavailable,,,,Sake,Oils and sauces,Yes
茸ご飯🍄‍🟫🍚,Japanese,Lunch,Rice based,Medium,Planned,❌ Unavailable,,,,Salt,Others,Yes
茸ご飯🍄‍🟫🍚,Japanese,Lunch,Rice based,Medium,Planned,❌ Unavailable,,,,ごま油,Oils and sauces,Yes
茸ご飯🍄‍🟫🍚,Japanese,Lunch,Rice based,Medium,Planned,❌ Unavailable,,,,White mushroom,Vegetables,No
ラーメン🍜,Japanese,Dinner,Rice based,High,Planned,❌ Unavailable,,,,Komatsuna,Vegetables,No
🍊 Hybrid Orange Cake — Light & Aromatic,Cake Italian,Dessert,Cake,High,Not planned,❌ Unavailable,,,,Orange,Fruits,No
🍊 Hybrid Orange Cake — Light & Aromatic,Cake Italian,Dessert,Cake,High,Not planned,❌ Unavailable,,,,Powder sugar,Cake ingredient,No
🍊 Hybrid Orange Cake — Light & Aromatic,Cake Italian,Dessert,Cake,High,Not planned,❌ Unavailable,,,,Unsalted butter,Dairy,Yes
🍊 Hybrid Orange Cake — Light & Aromatic,Cake Italian,Dessert,Cake,High,Not planned,❌ Unavailable,,,,Vanilla essence,Cake ingredient,Yes
🍊 Hybrid Orange Cake — Light & Aromatic,Cake Italian,Dessert,Cake,High,Not planned,❌ Unavailable,,,,White sugar,Cake ingredient,Yes
🍊 Hybrid Orange Cake — Light & Aromatic,Cake Italian,Dessert,Cake,High,Not planned,❌ Unavailable,,,,Potato starch,Cake ingredient,Yes
🍊 Hybrid Orange Cake — Light & Aromatic,Cake Italian,Dessert,Cake,High,Not planned,❌ Unavailable,,,,Salad Oil,Oils and sauces,Yes
🍊 Hybrid Orange Cake — Light & Aromatic,Cake Italian,Dessert,Cake,High,Not planned,❌ Unavailable,,,,Eggs,Meat,Yes
🍊 Hybrid Orange Cake — Light & Aromatic,Cake Italian,Dessert,Cake,High,Not planned,❌ Unavailable,,,,Baking powder,Cake ingredient,Yes
🍊 Hybrid Orange Cake — Light & Aromatic,Cake Italian,Dessert,Cake,High,Not planned,❌ Unavailable,,,,Vegetable oil,Oils and sauces,Yes
